lat,long,name
1.34,103.832,Lornie Road
1.34,103.832,Lornie Road
1.436,103.807,Woodlands Avenue 12
1.367,104.004,Changi Coast Road
1.343,103.687,Pan Island Expressway
1.343,103.686,Pan Island Expressway
1.401,103.872,Tampines Expressway
1.401,103.872,Tampines Expressway
1.304,103.919,East Coast Parkway
1.304,103.919,East Coast Parkway
1.348,103.942,Tampines Avenue 5
1.348,103.942,Tampines Avenue 5
1.357,103.783,Bukit Timah Expressway
1.344,103.851,Braddell Road
1.357,103.784,Bukit Timah Expressway
1.344,103.851,Braddell Road
1.388,103.743,Kranji Expressway
1.388,103.743,Kranji Expressway
1.321,103.764,Clementi Avenue 6
1.321,103.764,Clementi Avenue 6
1.392,103.91,Tampines Expressway
1.392,103.909,Tampines Expressway
1.301,103.863,Nicoll Highway
1.301,103.863,Nicoll Highway
1.379,103.866,Ang Mo Kio Avenue 5
1.364,103.828,Upper Thomson Road
1.378,103.866,Ang Mo Kio Avenue 5
1.289,103.773,West Coast Highway
1.289,103.773,West Coast Highway
1.364,103.828,Upper Thomson Road
1.362,103.859,Central Expressway
1.362,103.859,Central Expressway
1.325,103.902,Pan Island Expressway
1.325,103.902,Pan Island Expressway
1.43,103.787,Woodlands Avenue 2
1.43,103.787,Woodlands Avenue 2
1.365,103.84,Ang Mo Kio Avenue 1
1.365,103.84,Ang Mo Kio Avenue 1
1.354,103.928,Tampines Avenue 10
1.354,103.928,Tampines Avenue 10
1.345,103.775,Upper Bukit Timah Road
1.314,103.713,Jalan Buroh
1.392,103.837,Lentor Avenue
1.392,103.837,Lentor Avenue
1.322,103.671,Ayer Rajah Expressway
1.322,103.671,Ayer Rajah Expressway
1.33,103.844,Pan Island Expressway
1.33,103.844,Pan Island Expressway
